Age,Age_Category,Gender,Occupational_Status,State,City,Latitude,Longitude,Residence,Favourite_Shows,Series_Genre
21,21-30,Female,Student,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Family Man,Action
21,21-30,Female,Student,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,After Life,Comedy
21,21-30,Female,Student,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Hospital Playlist,Medical Drama
53,51-60,Female,Homemaker,Kerala,Thrissur,10.52,76.21,Town/City,Hawkeye,Fantasy
53,51-60,Female,Homemaker,Kerala,Thrissur,10.52,76.21,Town/City,Vikings,Adventure
53,51-60,Female,Homemaker,Kerala,Thrissur,10.52,76.21,Town/City,The Walking Dead,Horror
21,21-30,Female,Student,Kerala,Thrissur,10.52,76.21,Town/City,Money Heist,Crime
21,21-30,Female,Student,Kerala,Thrissur,10.52,76.21,Town/City,The Vampire Diaries,Horror
21,21-30,Female,Student,Kerala,Thrissur,10.52,76.21,Town/City,Emily in Paris,Comedy
29,21-30,Male,Employed,Kerala,Thrissur,10.52,76.21,Town/City,Breaking Bad,Crime
29,21-30,Male,Employed,Kerala,Thrissur,10.52,76.21,Town/City,The Good Doctor,Medical Drama
29,21-30,Male,Employed,Kerala,Thrissur,10.52,76.21,Town/City,Friends,Comedy
21,21-30,Female,Student,Maharashtra,Mumbai,18.9667,72.8333,Town/City,Human,Thriller
21,21-30,Female,Student,Maharashtra,Mumbai,18.9667,72.8333,Town/City,Aranyak,Thriller
21,21-30,Female,Student,Maharashtra,Mumbai,18.9667,72.8333,Town/City,Family Man,Action
22,21-30,Female,Employed,Karnataka,Mangalore,12.8703,74.8806,Rural,Bhaukaal,Crime
22,21-30,Female,Employed,Karnataka,Mangalore,12.8703,74.8806,Rural,Hometown Cha Cha Cha,K-drama
22,21-30,Female,Employed,Karnataka,Mangalore,12.8703,74.8806,Rural,Hometown Cha Cha Cha,K-drama
22,21-30,Female,Employed,Karnataka,Mangalore,12.8703,74.8806,Rural,Vincenzo,K-drama
24,21-30,Female,Employed,Kerala,Kottayam,9.5916,76.5222,Town/City,Loki,Superhero
24,21-30,Female,Employed,Kerala,Kottayam,9.5916,76.5222,Town/City,Squid Game,K-drama
24,21-30,Female,Employed,Kerala,Kottayam,9.5916,76.5222,Town/City,Money Heist,Crime
19,11-20,Female,Student,Uttarakhand,Dehradun,30.3165,78.0322,Town/City,The Queen's Gambit,Drama
19,11-20,Female,Student,Uttarakhand,Dehradun,30.3165,78.0322,Town/City,Lucifer,Fantasy
19,11-20,Female,Student,Uttarakhand,Dehradun,30.3165,78.0322,Town/City,Brooklyn Nine-Nine,Comedy
24,21-30,Male,Employed,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Demon Slayer,Anime
24,21-30,Male,Employed,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Peaky Blinders,Action
24,21-30,Male,Employed,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Suits,Drama
23,21-30,Female,Employed,Karnataka,Mangalore,12.8703,74.8806,Town/City,The Big Bang Theory,Comedy
