Age,Age_Category,Gender,Occupational_Status,Annual_Salary,State,City,Latitude,Longitude,Residence,Genre
22,21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Crime/Mystery
22,21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Action
22,21-30,Male,Employed,less than 1 lakh,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Thriller
21,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Romantic Comedy
21,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Sci-Fi/Fantasy
21,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Horror
21,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Crime/Mystery
21,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Action
21,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Thriller
21,21-30,Male,Employed,between 3 and 6 lakhs,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Anime
21,21-30,Male,Student,,Karnataka,Ramanagar,12.7209,77.2799,Town/City,Anime
20,11-20,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Romantic Comedy
20,11-20,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Sci-Fi/Fantasy
20,11-20,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Crime/Mystery
20,11-20,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Action
20,11-20,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Thriller
20,11-20,Male,Student,,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Anime
21,21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Town/City,Romantic Comedy
21,21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Town/City,Sci-Fi/Fantasy
21,21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Town/City,Crime/Mystery
21,21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Town/City,Action
21,21-30,Male,Student,,Kerala,Kochi,9.9667,76.2833,Town/City,Thriller
20,11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Romantic Comedy
20,11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Sci-Fi/Fantasy
20,11-20,Female,Student,,Kerala,Ernakulam,9.9816,76.2999,Town/City,Action
66,61-70,Male,Retired,,Kerala ,Thrissur,10.52,76.21,Town/City,Sci-Fi/Fantasy
65,61-70,Male,Retired,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Romantic Comedy
65,61-70,Male,Retired,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Crime/Mystery
65,61-70,Male,Retired,,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Thriller
22,21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Sci-Fi/Fantasy
22,21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Horror
22,21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Crime/Mystery
22,21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Action
22,21-30,Male,Student,,Kerala,Ernakulam,9.9816,76.2999,Rural,Thriller
19,11-20,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,Sci-Fi/Fantasy
19,11-20,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,Horror
19,11-20,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,Crime/Mystery
19,11-20,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,Action
19,11-20,Female,Student,,West Bengal,Siliguri,26.72,88.42,Town/City,Thriller
