Age_Category,Gender,Occupational_Status,Annual_Salary,OTT_Platforms
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
25.5,Male,Employed,between 1 and  3 lakhs,Netflix
25.5,Male,Employed,between 1 and  3 lakhs,Amazon Prime
25.5,Male,Student,,Netflix
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Student,,Zee5
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
45.5,Female,Unemployed,,Netflix
45.5,Female,Unemployed,,Amazon Prime
45.5,Female,Unemployed,,Voot
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Voot
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
25.5,Male,Student,,Zee5
25.5,Male,Student,,Voot
25.5,Male,Employed,between 3 and 6 lakhs,Netflix
45.5,Female,Unemployed,,Netflix
45.5,Female,Unemployed,,Amazon Prime
55.5,Male,Employed,less than 1 lakh,Netflix
15.5,Male,Student,,MX Player
25.5,Male,Employed,between 3 and 6 lakhs,Other
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Student,,Zee5
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Employed,between 3 and 6 lakhs,Netflix
25.5,Male,Employed,between 3 and 6 lakhs,Amazon Prime
25.5,Male,Employed,between 3 and 6 lakhs,Disney+ Hotstar
25.5,Male,Employed,between 3 and 6 lakhs,Zee5
25.5,Male,Employed,less than 1 lakh,Amazon Prime
25.5,Male,Employed,between 3 and 6 lakhs,Netflix
25.5,Male,Employed,between 3 and 6 lakhs,Amazon Prime
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Disney+ Hotstar
15.5,Male,Student,,Zee5
25.5,Male,Student,,Netflix
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
15.5,Female,Student,,Disney+ Hotstar
65.5,Male,Retired,,Amazon Prime
65.5,Male,Retired,,Netflix
65.5,Male,Retired,,Amazon Prime
65.5,Male,Retired,,Disney+ Hotstar
65.5,Male,Retired,,SonyLIV
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Other
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
15.5,Female,Student,,Disney+ Hotstar
15.5,Female,Student,,Zee5
15.5,Female,Student,,SonyLIV
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
65.5,Female,Retired,,Netflix
65.5,Female,Retired,,Amazon Prime
65.5,Female,Retired,,Disney+ Hotstar
25.5,Female,Employed,between 3 and 6 lakhs,Netflix
25.5,Female,Employed,between 3 and 6 lakhs,Amazon Prime
15.5,Female,Student,,YouTube
15.5,Female,Student,,Telegram
45.5,Female,Unemployed,,Amazon Prime
25.5,Female,Unemployed,,Netflix
15.5,Female,Unemployed,,Netflix
15.5,Female,Unemployed,,Amazon Prime
15.5,Female,Unemployed,,Disney+ Hotstar
25.5,Female,Employed,between 3 and 6 lakhs,Netflix
25.5,Female,Employed,between 3 and 6 lakhs,Amazon Prime
25.5,Female,Employed,between 3 and 6 lakhs,Disney+ Hotstar
25.5,Female,Employed,between 3 and 6 lakhs,Voot
25.5,Female,Employed,between 6 and 9 lakhs,Netflix
25.5,Female,Employed,between 6 and 9 lakhs,Zee5
15.5,Female,Unemployed,,Amazon Prime
15.5,Female,Unemployed,,Disney+ Hotstar
25.5,Male,Employed,less than 1 lakh,Telegram
25.5,Female,Employed,between 1 and  3 lakhs,Amazon Prime
25.5,Female,Employed,between 1 and  3 lakhs,Disney+ Hotstar
25.5,Male,Unemployed,,Netflix
25.5,Male,Unemployed,,Amazon Prime
25.5,Male,Unemployed,,Disney+ Hotstar
25.5,Female,Unemployed,,Telegram
15.5,Male,Unemployed,,Netflix
25.5,Male,Self Employed,less than 1 lakh,Amazon Prime
25.5,Male,Self Employed,less than 1 lakh,Disney+ Hotstar
25.5,Male,Unemployed,,Netflix
25.5,Male,Self Employed,less than 1 lakh,Netflix
25.5,Male,Self Employed,less than 1 lakh,Amazon Prime
25.5,Male,Self Employed,less than 1 lakh,Disney+ Hotstar
25.5,Male,Self Employed,less than 1 lakh,SonyLIV
25.5,Male,Self Employed,less than 1 lakh,Netflix
25.5,Male,Unemployed,,Netflix
25.5,Male,Unemployed,,Amazon Prime
25.5,Male,Employed,less than 1 lakh,Telegram
25.5,Male,Unemployed,,Telegram
15.5,Female,Unemployed,,Netflix
15.5,Female,Unemployed,,Disney+ Hotstar
15.5,Female,Unemployed,,Voot
25.5,Female,Unemployed,,Amazon Prime
15.5,Male,Unemployed,,Netflix
15.5,Male,Unemployed,,Amazon Prime
15.5,Male,Unemployed,,Netflix
15.5,Male,Unemployed,,Amazon Prime
15.5,Male,Unemployed,,Disney+ Hotstar
15.5,Male,Unemployed,,SonyLIV
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
15.5,Male,Unemployed,,Disney+ Hotstar
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
35.5,Female,Employed,between 1 and  3 lakhs,Netflix
35.5,Female,Employed,more than 9 lakhs,Netflix
35.5,Female,Employed,more than 9 lakhs,Amazon Prime
35.5,Female,Employed,more than 9 lakhs,Disney+ Hotstar
15.5,Female,Student,,Viki Rakuten
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
25.5,Female,Student,,Netflix
15.5,Male,Student,,Disney+ Hotstar
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Student,,Netflix
25.5,Female,Student,,Disney+ Hotstar
35.5,Female,Employed,between 6 and 9 lakhs,Netflix
35.5,Female,Employed,between 6 and 9 lakhs,Amazon Prime
35.5,Female,Employed,between 6 and 9 lakhs,Zee5
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
25.5,Female,Student,,Netflix
35.5,Male,Employed,more than 9 lakhs,Netflix
35.5,Male,Employed,more than 9 lakhs,Amazon Prime
35.5,Male,Employed,more than 9 lakhs,Disney+ Hotstar
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
25.5,Male,Self Employed,more than 9 lakhs,Netflix
25.5,Male,Self Employed,more than 9 lakhs,Amazon Prime
25.5,Male,Self Employed,more than 9 lakhs,Disney+ Hotstar
25.5,Male,Self Employed,more than 9 lakhs,Voot
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
35.5,Female,Employed,more than 9 lakhs,Netflix
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
15.5,Female,Unemployed,,Netflix
15.5,Female,Unemployed,,Amazon Prime
15.5,Female,Unemployed,,Disney+ Hotstar
15.5,Female,Unemployed,,Voot
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,YouTube
35.5,Female,Employed,between 3 and 6 lakhs,Netflix
35.5,Female,Employed,between 3 and 6 lakhs,Amazon Prime
35.5,Female,Employed,between 3 and 6 lakhs,Disney+ Hotstar
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Student,,Netflix
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
35.5,Male,Employed,between 3 and 6 lakhs,Netflix
35.5,Male,Employed,between 3 and 6 lakhs,Amazon Prime
35.5,Male,Employed,between 3 and 6 lakhs,Disney+ Hotstar
45.5,Female,Employed,between 1 and  3 lakhs,Amazon Prime
45.5,Female,Employed,between 1 and  3 lakhs,Disney+ Hotstar
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Disney+ Hotstar
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
35.5,Male,Employed,less than 1 lakh,Netflix
35.5,Male,Employed,less than 1 lakh,Amazon Prime
25.5,Male,Student,,Netflix
25.5,Male,Student,,Amazon Prime
25.5,Male,Student,,Disney+ Hotstar
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Disney+ Hotstar
45.5,Female,Employed,between 1 and  3 lakhs,Netflix
45.5,Female,Employed,between 1 and  3 lakhs,Amazon Prime
45.5,Female,Employed,between 1 and  3 lakhs,Zee5
25.5,Male,Employed,between 3 and 6 lakhs,Netflix
25.5,Male,Employed,between 3 and 6 lakhs,Amazon Prime
25.5,Male,Employed,between 3 and 6 lakhs,Disney+ Hotstar
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
15.5,Female,Student,,Disney+ Hotstar
25.5,Male,Employed,between 6 and 9 lakhs,Netflix
25.5,Male,Employed,between 6 and 9 lakhs,Amazon Prime
25.5,Male,Employed,between 6 and 9 lakhs,Disney+ Hotstar
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
15.5,Female,Student,,Disney+ Hotstar
15.5,Female,Student,,Netflix
15.5,Male,Student,,Netflix
15.5,Male,Student,,Amazon Prime
15.5,Male,Student,,Disney+ Hotstar
25.5,Male,Student,,Amazon Prime
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Student,,SonyLIV
25.5,Female,Student,,Voot
55.5,Female,Homemaker,,Disney+ Hotstar
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Male,Employed,less than 1 lakh,Netflix
25.5,Male,Employed,less than 1 lakh,Amazon Prime
25.5,Female,Student,,Netflix
25.5,Female,Student,,Amazon Prime
25.5,Female,Student,,Disney+ Hotstar
25.5,Female,Employed,between 3 and 6 lakhs,Netflix
25.5,Female,Employed,between 3 and 6 lakhs,Amazon Prime
25.5,Female,Employed,between 3 and 6 lakhs,Disney+ Hotstar
25.5,Female,Employed,more than 9 lakhs,Netflix
25.5,Female,Employed,more than 9 lakhs,Amazon Prime
25.5,Female,Employed,more than 9 lakhs,Disney+ Hotstar
15.5,Female,Student,,Netflix
15.5,Female,Student,,Amazon Prime
25.5,Male,Employed,between 3 and 6 lakhs,Netflix
25.5,Male,Employed,between 3 and 6 lakhs,Amazon Prime
25.5,Male,Employed,between 3 and 6 lakhs,Disney+ Hotstar
25.5,Female,Employed,between 3 and 6 lakhs,Netflix
25.5,Female,Employed,between 3 and 6 lakhs,Amazon Prime
25.5,Female,Employed,between 3 and 6 lakhs,Disney+ Hotstar
