Age,Age_Category,Gender,State,City,Latitude,Longitude,Residence,Occupational_Status,Favourite_Movies,Movie_Genre
22,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Employed,Roberrt,Drama
22,21-30,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Employed,Salaga,Thriller
21,21-30,Male,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Employed,Fast 9,Thriller
21,21-30,Male,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Employed,Venom,Horror
21,21-30,Male,Karnataka ,Bangalore,12.9699,77.598,Metrpolitan,Employed,SpiderMan: No Way Home,Sci-Fi
21,21-30,Male,Karnataka,Ramanagar,12.7209,77.2799,Town/City,Student,Sardar Udham,Action
21,21-30,Male,Karnataka,Ramanagar,12.7209,77.2799,Town/City,Student,83,Drama
21,21-30,Male,Karnataka,Ramanagar,12.7209,77.2799,Town/City,Student,Sham Singha Roy,Romance
20,11-20,Male,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Student,The Pursuit Of Happiness,Drama
20,11-20,Male,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Student,Yeh Jawaani Hai Deewani,Romantic Comedy
20,11-20,Male,Kerala,Kochi,9.9667,76.2833,Metrpolitan,Student,3 Idiots,Comedy
21,21-30,Male,Kerala,Kochi,9.9667,76.2833,Town/City,Student,Hridayam,Romance
21,21-30,Male,Kerala,Kochi,9.9667,76.2833,Town/City,Student,Spiderman: No Way Home,Sci-Fi
21,21-30,Male,Kerala,Kochi,9.9667,76.2833,Town/City,Student,Doctor,Action
20,11-20,Female,Kerala,Ernakulam,9.9816,76.2999,Town/City,Student,Bro Daddy,Comedy
20,11-20,Female,Kerala,Ernakulam,9.9816,76.2999,Town/City,Student,Spiderman: No Way Home,Sci-Fi
20,11-20,Female,Kerala,Ernakulam,9.9816,76.2999,Town/City,Student,The Intern,Comedy
66,61-70,Male,Kerala ,Thrissur,10.52,76.21,Town/City,Retired,Home,Comedy
66,61-70,Male,Kerala ,Thrissur,10.52,76.21,Town/City,Retired,Irul,Mystery
66,61-70,Male,Kerala ,Thrissur,10.52,76.21,Town/City,Retired,Veyilmarangal,Drama
65,61-70,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Retired,Waqt,Romantic Comedy
65,61-70,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Retired,GoldenEye,Thriller
65,61-70,Male,Karnataka,Bangalore,12.9699,77.598,Metrpolitan,Retired,Andhadhun,Crime
